GEOID,"% Enrolled in nursery school, preschool, 2024","% Enrolled in nursery school, preschool, 2024 (normalized)"
13067030405,2.7,0.1139240506329114
13067030407,0.0,0.0
13067030408,1.8,0.0759493670886076
13067030409,4.7,0.19831223628691985
13067030410,9.3,0.3924050632911393
13067030411,4.0,0.16877637130801687
13067030412,1.7,0.07172995780590717
13067030413,21.6,0.9113924050632912
13067030414,3.5,0.14767932489451477
13067030505,0.0,0.0
13067030506,6.8,0.2869198312236287
13067030507,6.8,0.2869198312236287
13067030508,1.9,0.08016877637130801
13067030509,14.3,0.6033755274261604
13067030510,5.3,0.22362869198312235
13067030511,5.8,0.24472573839662448
13067030602,6.5,0.2742616033755274
13067030603,17.9,0.7552742616033755
13067030604,23.7,1.0
13067030700,4.0,0.16877637130801687
13067030800,2.6,0.10970464135021098
13067030906,5.2,0.21940928270042195
13067030907,2.5,0.10548523206751055
13067030908,0.6,0.02531645569620253
13067030909,11.5,0.48523206751054854
13067030910,14.7,0.620253164556962
13067030911,3.0,0.12658227848101267
13067030912,3.4,0.14345991561181434
13067031001,4.4,0.18565400843881857
13067031004,8.3,0.3502109704641351
13067031005,0.0,0.0
13067031006,0.0,0.0
13067031007,7.3,0.3080168776371308
13067031101,4.7,0.19831223628691985
13067031110,16.6,0.7004219409282701
13067031111,6.8,0.2869198312236287
13067031112,16.7,0.7046413502109704
13067031113,9.4,0.3966244725738397
13067031114,3.5,0.14767932489451477
13067031115,2.4,0.10126582278481013
13067031116,8.1,0.34177215189873417
13067031117,9.8,0.4135021097046414
13067031118,15.2,0.6413502109704641
13067031119,2.6,0.10970464135021098
13067031120,15.5,0.6540084388185654
13067031121,1.6,0.06751054852320676
13067031122,10.3,0.4345991561181435
13067031207,0.0,0.0
13067031209,11.1,0.46835443037974683
13067031212,2.0,0.08438818565400844
13067031213,8.8,0.37130801687763715
13067031214,3.2,0.13502109704641352
13067031215,1.5,0.06329113924050633
13067031216,21.5,0.9071729957805907
13067031217,18.6,0.7848101265822786
13067031218,4.8,0.20253164556962025
13067031219,5.0,0.2109704641350211
13067031220,7.5,0.31645569620253167
13067031221,6.1,0.2573839662447257
13067031306,1.0,0.04219409282700422
13067031308,8.5,0.35864978902953587
13067031314,3.7,0.15611814345991562
13067031315,18.8,0.7932489451476794
13067031316,1.4,0.05907172995780591
13067031317,4.7,0.19831223628691985
13067031318,1.4,0.05907172995780591
13067031319,5.1,0.2151898734177215
13067031320,7.7,0.3248945147679325
13067031321,0.0,0.0
13067031322,11.1,0.46835443037974683
13067031323,3.9,0.16455696202531644
13067031324,7.4,0.31223628691983124
13067031325,8.0,0.33755274261603374
13067031409,7.7,0.3248945147679325
13067031410,0.0,0.0
13067031411,7.5,0.31645569620253167
13067031412,10.1,0.42616033755274263
13067031413,5.7,0.24050632911392406
13067031414,9.6,0.4050632911392405
13067031415,0.0,0.0
13067031416,17.0,0.7172995780590717
13067031417,0.0,0.0
13067031506,1.1,0.046413502109704644
13067031507,2.9,0.12236286919831224
13067031510,4.5,0.189873417721519
13067031511,9.3,0.3924050632911393
13067031512,4.6,0.1940928270042194
13067031513,1.4,0.05907172995780591
13067031514,5.0,0.2109704641350211
13067031515,10.0,0.4219409282700422
13067031516,4.9,0.2067510548523207
13067031517,2.3,0.0970464135021097
13067031518,0.0,0.0
