GEOID,"% Renter-occupied housing units, 2024","% Renter-occupied housing units, 2024 (normalized)"
13067031411,36.7,0.6368209255533199
13067031412,61.9,0.38329979879275655
13067031413,60.2,0.4004024144869216
13067031414,16.3,0.8420523138832998
13067031415,35.4,0.6498993963782697
13067031416,10.7,0.8983903420523139
13067031417,42.5,0.5784708249496981
13067031506,18.1,0.823943661971831
13067031507,38.0,0.6237424547283703
13067031510,19.8,0.8068410462776661
13067031511,24.7,0.7575452716297787
13067031512,16.1,0.8440643863179074
13067031513,10.8,0.89738430583501
13067031514,10.7,0.8983903420523139
13067031515,5.3,0.9527162977867203
13067031516,15.4,0.8511066398390342
13067031517,25.5,0.7494969818913482
13067031518,14.6,0.8591549295774648
